slug,nombre,pais,fundada,firma,descripcion
perry-ellis,Perry Ellis,Estados Unidos,1976,Moda estadounidense.,Marca estadounidense creadora de la línea 360°.
cacharel,Cacharel,Francia,1962,Moda francesa.,Casa de moda francesa creadora de Amor Amor.
paris-hilton,Paris Hilton,Estados Unidos,,Fragancias de celebridad.,Línea de fragancias de la empresaria estadounidense Paris Hilton.
katy-perry,Katy Perry,Estados Unidos,,Fragancias de celebridad.,"Línea de fragancias de la cantante Katy Perry, con frascos en forma de gato."
ariana-grande,Ariana Grande,Estados Unidos,,Fragancias de celebridad.,"Línea de fragancias de la cantante Ariana Grande, creadora de Cloud."
britney-spears,Britney Spears,Estados Unidos,,Fragancias de celebridad.,"Línea de fragancias de la cantante Britney Spears, creadora de Fantasy."
billie-eilish,Billie Eilish,Estados Unidos,,Fragancias de celebridad.,Línea de fragancias de la cantante Billie Eilish.
sabrina-carpenter,Sabrina Carpenter,Estados Unidos,,Fragancias de celebridad.,Línea de fragancias Sweet Tooth de la cantante Sabrina Carpenter.
louis-vuitton,Louis Vuitton,Francia,1854,Lujo francés.,"Casa de lujo francesa fundada en 1854, con una colección de perfumes de autor."
jacques-bogart,Jacques Bogart,Francia,,Perfumería francesa.,Casa de perfumería francesa creadora de Silver Scent.
otras-casas,Otras casas,,,Fragancias de casas sin ficha propia.,Fragancias de casas que todavía no tienen ficha propia en la tienda.
